COUNTRY,TITLE,DESC,DATE,SECTOR,THTYPE,NOTE,NOTE2,YEAR,,,,
US,"Cybersecurity in the  Golden State: How California Businesses Can Protect Against and Respond to Malware, Data Breaches and Other Cyberincidents","The California Attorney General&#8217;s Office has issued a report,‘_Cybersecurity in the ‘_Golden State: How California Businesses Can Protect Against and Respond to Malware, Data Breaches and Other Cyberincidents. Here&#8217;s the Executive Summary: Executive Summary Relatively small investments in cybersecurity preparedness can yield significant risk reductions. Every business in California should follow the steps summarized below, <a href='https://www.databreaches.net/cybersecurity-in-the-golden-state-how-california-businesses-can-protect-against-and-respond-to-malware-data-breaches-and-other-cyberincidents/' class='excerpt-more'>[...]</a>","Sat, 01 Mar 2014 01:06:56 +0000",Business Sector,Commentaries and Analyses,,,2014,,,,
US,First American Bank Reports Data Breach in Chicago Taxis,"First American Bank has filed a complaint with the City of Chicago following reports of a data breach involving customer debit cards used in taxis in the city. The banking company, based in Elk Grove Village, is advising customers not to use debit cards, or any other cards, in local taxis and has filed a <a href='https://www.databreaches.net/first-american-bank-reports-data-breach-in-chicago-taxis/' class='excerpt-more'>[...]</a>","Sat, 01 Mar 2014 01:00:50 +0000",Business Sector,ID Theft,,,2014,,,,
US,"Crap hospital databases next goldmine for cyber-crooks, say Microsoft's botnet slayers","Iain Thomson reports: The low levels of security in healthcare IT systems, and the high value of its data, is going to make the sector the next big target for scammers, according to the Microsoft-backed team that takes down botnets. &#8220;Healthcare is really in a disadvantaged place in cyber-security,&#8221; said Patrick Peterson, CEO of security <a href='https://www.databreaches.net/crap-hospital-databases-next-goldmine-for-cyber-crooks-say-microsofts-botnet-slayers/' class='excerpt-more'>[...]</a>","Sat, 01 Mar 2014 00:58:55 +0000",Uncategorized,,,,2014,,,,
US,Sands Update: Hackers stole personal information of tens of thousands of Pennsylvania casino patrons,"Hannah Dreier of Associated Press reports: Computer hackers stole the personal information of tens of thousands of Las Vegas Sands customers during a data breach earlier this month, the casino company said Friday. The company said in a regulatory filing that information about some patrons at its Bethlehem, Pa., hotel-casino was compromised during the Feb. <a href='https://www.databreaches.net/sands-update-hackers-stole-personal-information-of-tens-of-thousands-of-pennsylvania-casino-patrons/' class='excerpt-more'>[...]</a>","Sat, 01 Mar 2014 00:57:01 +0000",Business Sector,Hack,ID Theft,Of Note,2014,,,,
US,Jail time for university hacker who changed his grades to straight As,"John Hawes reports: A former student of Purdue University in Indiana has been‘_sentenced to 90 days‘_in jail for his part in hacking into college computer systems and changing grades. Roy C. Sun is one of three former Purdue students thought to have been involved in the incident, which occurred between 2008 and 2010 when they <a href='https://www.databreaches.net/jail-time-for-university-hacker-who-changed-his-grades-to-straight-as/' class='excerpt-more'>[...]</a>","Sat, 01 Mar 2014 00:54:19 +0000",Education Sector,Hack,Insider,,2014,,,,
US,"Florida Woman Arrested On Identity Theft And Tax Fraud Charges, Found in Possession of Identity Info of 700","Tia Lashonda Miller, 39, of West Palm Beach, was arrested on charges of unlawful possession of unauthorized access devices, in violation of 18 US.C. ‘_ 1029(a)(3), and five counts of aggravated identity theft, in violation of 18 US.C. ‘_ 1028A(a)(1)). Miller made her initial appearance in court on Monday, February 24, 2014, before US. Magistrate <a href='https://www.databreaches.net/florida-woman-arrested-on-identity-theft-and-tax-fraud-charges-found-in-possession-of-identity-info-of-700/' class='excerpt-more'>[...]</a>","Fri, 28 Feb 2014 22:21:46 +0000",Breach Incidents,ID Theft,,,2014,,,,
US,IA: ID Theft: University Professors Victims,"More than 50 employees at the University of Northern Iowa may have had their identities stolen. One professor says when he went to file his taxes, someone had already filed in his name. The university says when it got eight or nine similar cases it made them take notice. Now the IRS and Division of <a href='https://www.databreaches.net/ia-id-theft-university-professors-victims/' class='excerpt-more'>[...]</a>","Fri, 28 Feb 2014 22:14:35 +0000",Education Sector,ID Theft,,,2014,,,,
US,Breach Blind Spot Puts Retailers on Defensive,"Brian Krebs writes: In response to rumors in the financial industry that‘_Sears‘_may be the latest retailer hit by hackers, the company said today it has no indications that it has been breached.‘_Although the Sears investigation is ongoing, experts say there is a good chance the identification of Sears as a victim is a false alarm <a href='https://www.databreaches.net/breach-blind-spot-puts-retailers-on-defensive/' class='excerpt-more'>[...]</a>","Fri, 28 Feb 2014 21:22:35 +0000",Commentaries and Analyses,,,,2014,,,,
US,"Sears, Secret Service Said to Investigate Possible Data Breach, but Sears Says There_„_s No Evidence of Breach","Michael Riley reports: The US. Secret Service is investigating a possible security breach at Sears Holdings Corporation, after a series of cyber attacks on retailers that have exposed the credit-card data of millions of US. consumers, according to a person familiar with the investigation. Read more on Bloomberg.com. The Chicago Tribune has a response from <a href='https://www.databreaches.net/sears-secret-service-said-to-investigate-possible-data-breach-but-sears-says-theres-no-evidence-of-breach/' class='excerpt-more'>[...]</a>","Fri, 28 Feb 2014 19:43:28 +0000",Business Sector,Hack,Of Note,,2014,,,,
US,Employees sue UPMC over security breach,"Well, that was fast. And perhaps premature. Kris B. Mamula reports: Two‘_UPMC‘_McKeesport Hospital employees have sued their employer, claiming the hospital and corporate parent failed to protect the personal security information of its workers. Employees‘_Barbara Dittman‘_and‘_Gary Douglas‘_claimed their financial and W2 data were hacked by unknown fraudsters, who opened bank accounts in their names and <a href='https://www.databreaches.net/employees-sue-upmc-over-security-breach/' class='excerpt-more'>[...]</a>","Fri, 28 Feb 2014 18:28:34 +0000",Health Data,ID Theft,,,2014,,,,
US,How do the FBI and Secret Service know your network has been breached before you do?,"Ellen Messmer reports: By all accounts, many of the massive data breaches in the news these days are first revealed to the victims by law enforcement, the Secret Service and Federal Bureau of Investigation (FBI). But how do the agencies figure it out before the companies know they have been breached, especially given the millions <a href='https://www.databreaches.net/how-do-the-fbi-and-secret-service-know-your-network-has-been-breached-before-you-do/' class='excerpt-more'>[...]</a>","Mon, 31 Mar 2014 12:31:47 +0000",Commentaries and Analyses,,,,2014,,,,
US,Bank drops lawsuit against Target and Trustwave,"Jeremy Kirk reports that Trustmark National Bank, one of the two plaintiffs in a lawsuit filed by banks against Target and Trustwave, has filed a notice of voluntary dismissal to drop their role in the lawsuit. Because the lawsuit was dropped without prejudice, the bank may re-file the suit at some point, although I suspect <a href='https://www.databreaches.net/bank-drops-lawsuit-against-target-and-trustwave/' class='excerpt-more'>[...]</a>","Mon, 31 Mar 2014 11:58:16 +0000",Business Sector,Hack,,,2014,,,,
UK,UK: Barclays customers hit by data theft slam _„ñchicken feed_„ù compensation,"Grimsby Telegraph has an update to a breach previously noted on this blog: Barclays Bank has come under fire after offering just ‘£250 in compensation to customers whose confidential files were stolen and sold to rogue City traders. At least 2,000 of the bank_„_s customers were affected by the theft, which included details of their <a href='https://www.databreaches.net/uk-barclays-customers-hit-by-data-theft-slam-chicken-feed-compensation/' class='excerpt-more'>[...]</a>","Mon, 31 Mar 2014 11:36:02 +0000",Financial Sector,,,,2014,,,,
Non-US,"Pharmacy board's actions raise questions about ethics, patient privacy, safety","John Russell reports: A powerful member of the Indiana Board of Pharmacy was quietly involved in discussions with state pharmacy regulators about a $100 million project that benefited his employer _„î Walgreens pharmacies. And now a government watchdog group and a labor federation say those actions not only violated state ethics laws, but have allowed <a href='https://www.databreaches.net/pharmacy-boards-actions-raise-questions-about-ethics-patient-privacy-safety/' class='excerpt-more'>[...]</a>","Mon, 31 Mar 2014 11:20:57 +0000",Uncategorized,,,,2014,,,,
Non-US,"Angry Birds still leaking user details, data security firm reports","Rovio, the creator of the mobile game hit Angry Birds, has continued its co-operation with an ad platform believed to have been hacked by the British intelligence agency, data security firm FireEye reveals in its blog. The Guardian reported in January, citing documents provided by Edward Snowden, that the Government Communications Headquarters (GCHQ) can snatch <a href='https://www.databreaches.net/angry-birds-still-leaking-user-details-data-security-firm-reports/' class='excerpt-more'>[...]</a>","Sun, 30 Mar 2014 10:27:45 +0000",Business Sector,,,,2014,,,,
Non-US,Document Shredding Company Employee Eyed in ID Theft Ring,"This story out of Texas is a good reminder of why you want to have a good Business Associates agreement in place with your documents storage or shredding vendor. It also reinforces my policy of standing there and watching while my documents are securely shredded by the truck operator. ‘_Of course, I don&#8217;t generate as <a href='https://www.databreaches.net/document-shredding-company-employee-eyed-in-id-theft-ring/' class='excerpt-more'>[...]</a>","Sun, 30 Mar 2014 09:46:47 +0000",Health Data,,,,2014,,,,
US,TX: Document Shredding Company Employee Eyed in ID Theft Ring,"Scott Gordon reports: A Fort Worth man who worked for a document shredding company did not destroy bank records and instead shared them with thieves, according to court documents. The number of potential victims is in the thousands and the total loss may be in the millions of dollars, a law enforcement source told NBC <a href='https://www.databreaches.net/tx-document-shredding-company-employee-eyed-in-id-theft-ring/' class='excerpt-more'>[...]</a>","Sun, 30 Mar 2014 09:41:22 +0000",Breach Incidents,Business Sector,ID Theft,Insider,2014,,,,
US,Claims that Trustwave was responsible for monitoring Target_„_s network _„ñbaseless_„ù _„_ Trustwave,"Yesterday, Trustwave issued a statement on its website about allegations made in lawsuits against Target naming it as a co-defendant. The letter, signed by Trustwave CEO‘_Robert J. McCullen reads: March 29, 2014 Dear Customers and Business Partners, As some of you may know, Trustwave was recently named as a defendant in lawsuits relating to the <a href='https://www.databreaches.net/claims-that-trustwave-was-responsible-for-monitoring-targets-network-baseless-trustwave/' class='excerpt-more'>[...]</a>","Sun, 30 Mar 2014 08:58:44 +0000",Business Sector,Hack,Subcontractor,,2014,,,,
US,"Public health, privacy rights collide in Pa. drug-tracking bill","Andrew Staub reports: Legislation moving through the Pennsylvania Senate would allow prosecutors to rifle through prescription drug records as easily as police can search a student_„_s locker. The proposal, Senate Bill 1180, would create an expanded prescription drug monitoring program and increase access for pharmacists and health-care practitioners who prescribe medication. The American Civil Liberties <a href='https://www.databreaches.net/public-health-privacy-rights-collide-in-pa-drug-tracking-bill/' class='excerpt-more'>[...]</a>","Sat, 29 Mar 2014 19:50:18 +0000",Uncategorized,,,,2014,,,,
US,"NY:  Jamaica Hospital Medical Center employees charged with illegally accessing patient information that they provided to lawyers and ""medical mills""","Queens District Attorney Richard A. Brown announced that two employees of Jamaica‘_Hospital Medical Center in Queens, New York have been charged with illegally accessing medical records and personal‘_identification information of emergency room patients who were then contacted _„î some while they‘_were still in the emergency room ‘__„_ by attorneys seeking to solicit them as clients <a href='https://www.databreaches.net/ny-jamaica-hospital-medical-center-employees-charged-with-illegally-accessing-patient-information-that-they-provided-to-lawyers-and-medical-mills/' class='excerpt-more'>[...]</a>","Sat, 29 Mar 2014 17:18:25 +0000",Uncategorized,,,,2014,,,,
US,"69 Vermont docs, health care providers targeted in tax scam","Sam Hemingway reports: At least 69 Vermont physicians and health care workers, many of them connected to Fletcher Allen Health Care in Burlington, were targets of a nationwide tax scam involving identity theft and the filing of fraudulent federal income tax returns in their names. _„ñIt_„_s mostly doctors, but it_„_s not restricted to them,_„ù Paul <a href='https://www.databreaches.net/69-vermont-docs-health-care-providers-targeted-in-tax-scam/' class='excerpt-more'>[...]</a>","Wed, 30 Apr 2014 23:20:46 +0000",Health Data,ID Theft,,,2014,,,,
US,NYC: Hale & Hearty Customers Targeted by Credit Card Skimmers,"NBC reports: A 39-year-old Bronx man and his 29-year-old girlfriend are accused of skimming customers&#8217; credit card numbers at the Hale &#38; Hearty where she worked, and then going on shopping sprees with several others, spending more than $200,000. Manhattan District Attorney Cyrus Vance Jr. says 11 people are accused in the scheme that began <a href='https://www.databreaches.net/nyc-hale-hearty-customers-targeted-by-credit-card-skimmers/' class='excerpt-more'>[...]</a>","Wed, 30 Apr 2014 23:18:33 +0000",Business Sector,ID Theft,Insider,Skimmers,2014,,,,
US,AL: Patients' personal info stolen from Flowers Hospital by employee for tax refund fraud scheme,"Ken Curtis reports: Flowers Hospital has sent letters to people whose lab work performed there warning that their identity may have been stolen and used to file fraudulent income tax returns. A copy of the letter made available to WDHN states the files were stolen between June, 2013 and February, 2014. Read more on DothanFirst. <a href='https://www.databreaches.net/al-patients-personal-info-stolen-from-flowers-hospital-by-employee-for-tax-refund-fraud-scheme/' class='excerpt-more'>[...]</a>","Wed, 30 Apr 2014 20:01:43 +0000",Uncategorized,,,,2014,,,,
US,Disclosure of medical records breached patient_„_s human rights _„_ Strasbourg,The release of confidential patient details to a state medical institution in the course of her negotiations with a hospital over a lawsuit was an unjustified interference with her right to respect for private life under‘_Article 8. Read more on UK Human Rights Blog. The case is‘_L.H. v Latvia [2014] ECHR‘_453 (29 April 2014)‘_&#8211;‘_read judgment.,"Wed, 30 Apr 2014 19:57:05 +0000",Uncategorized,,,,2014,,,,
US,DeKalb Health reports patient information breach after compromise of vendor's server,"KPC News reports: DeKalb Health hospital Wednesday announced it has learned of a hacking incident involving the DeKalb Health website that resulted in inappropriate access to certain information about some DeKalb Health patients. DeKalb Health uses a third party firm to operate its website, and a computer server operated by that third party was the <a href='https://www.databreaches.net/dekalb-health-reports-patient-information-breach-after-compromise-of-vendors-server/' class='excerpt-more'>[...]</a>","Wed, 30 Apr 2014 19:51:56 +0000",Uncategorized,,,,2014,,,,
US,U. North Carolina Wilmington reports yet another security incident,"From their website (h/t, idRADAR.com): Important Notice About Unauthorized Server Access _„_ April 29, 2014 UNCW_„_s Information Technology Services team has discovered unauthorized access to a UNCW applications server, making it possible to access a database containing names, addresses and social security numbers of individuals employed at UNCW as of March 2014, which may include <a href='https://www.databreaches.net/u-north-carolina-wilmington-reports-yet-another-security-incident/' class='excerpt-more'>[...]</a>","Wed, 30 Apr 2014 19:25:13 +0000",Education Sector,Hack,UNCW,University North Carolina Wilmington,2014,,,,
US,Class action lawsuit filed against Maricopa County Community Colleges District,"A law firm that had filed notices of claim against MCCCD over its 2013 breach that exposed the information of almost 2.5 million current and former students, employees, and vendors, has now filed a class action lawsuit. On Monday, April 28, 2014, Gallagher &#38; Kennedy filed a class action lawsuit in the Superior Court of <a href='https://www.databreaches.net/class-action-lawsuit-filed-against-maricopa-county-community-colleges-district/' class='excerpt-more'>[...]</a>","Wed, 30 Apr 2014 19:16:22 +0000",Commentaries and Analyses,Education Sector,Hack,,2014,,,,
US,MO: Public housing manager charged with identity theft for tax refund fraud,AP reports: The manager of a St. Louis public housing complex has been indicted on two felony charges for allegedly conspiring to steal‘_Social Security‘_numbers and other personal information from prospective‘_tenants. Federal prosecutors say 42-year-old‘_Marsha Harrington‘_worked with co-defendants‘_Calvin Shaw‘_and‘_Larry Corner‘_to use the stolen information to file false tax returns. Harrington is manager of the Clinton-Peabody housing <a href='https://www.databreaches.net/mo-public-housing-manager-charged-with-identity-theft-for-tax-refund-fraud/' class='excerpt-more'>[...]</a>,"Wed, 30 Apr 2014 18:16:30 +0000",Business Sector,Government Sector,ID Theft,Insider,2014,,,,
US,Tax Fraud Gang Targeted Healthcare Firms,"Brian Krebs reports: Earlier this month, I wrote about an organized cybercrime gang that has been hacking into HR departments at organizations across the country and‘_filing fraudulent‘_tax refund requests‘_with the IRS‘_on employees of those victim firms. Today, we_„_ll look a bit closer at the activities of this crime gang, which appears to have targeted a <a href='https://www.databreaches.net/tax-fraud-gang-targeted-healthcare-firms/' class='excerpt-more'>[...]</a>","Wed, 30 Apr 2014 13:44:14 +0000",Uncategorized,,,,2014,,,,
US,4Chan hacked,"Christopher Poole, aka &#8220;moot,&#8221; confirmed the attack on 4chan&#8217;s blog earlier today: Last week we were made aware of a software vulnerability that allowed an intruder access to administrative functions and information from one of our databases. The intruder later stated their motive was to expose the posting habits of a specific user they disliked. <a href='https://www.databreaches.net/4chan-hacked/' class='excerpt-more'>[...]</a>","Wed, 30 Apr 2014 13:34:18 +0000",Hack,Miscellaneous,,,2014,,,,
US,MI: Hurley Medical Center e-mail error discloses some employee and retiree Social Security numbers,"Amanda Emery reports: Hurley Medical Center inadvertently released the names and social security numbers of an undisclosed number of employees and retirees while trying to fix issues with its health care plan. According to a news release from Hurley Medical Center, the hospital recently discovered that an email attachment sent to a &#8220;limited number of <a href='https://www.databreaches.net/mi-hurley-medical-center-e-mail-error-discloses-some-employee-and-retiree-social-security-numbers/' class='excerpt-more'>[...]</a>","Sat, 31 May 2014 22:22:03 +0000",Uncategorized,,,,2014,,,,
US,"Ladies First Choice, Inc. reports insider theft of customer data","Ladies First Choice, Inc. in Florida reported to HHS that 2,365 were affected by an incident on January 1, 2013. The incident was coded as &#8220;Theft, Unauthorized Access/Disclosure,&#8221; with the location of the information listed as &#8220;laptop.&#8221; On investigation, I don&#8217;t think that the incident occurred on January 1, 2013, but rather that the oldest <a href='https://www.databreaches.net/ladies-first-choice-inc-reports-insider-theft-of-customer-data/' class='excerpt-more'>[...]</a>","Sat, 31 May 2014 21:51:04 +0000",Uncategorized,,,,2014,,,,
US,FL: Former Baptist Health worker sentenced in Operation Zig Zag,"Francine Frazier reports: A former Baptist Health employee was sentenced this week to three years in prison for identity theft in connection with Operation Zig Zag, the State Attorney&#8217;s Office announced Friday. Yvonne Marie Johnson, 46, was convicted on three counts of Criminal Use of Personal Identification in March. Read more on News4Jax. Background on <a href='https://www.databreaches.net/fl-former-baptist-health-worker-sentenced-in-operation-zig-zag/' class='excerpt-more'>[...]</a>","Sat, 31 May 2014 06:23:35 +0000",Uncategorized,,,,2014,,,,
US,AK: Mallott campaign computer stolen,"Rosemarie Alexander reports: A laptop computer with donors_„_ financial information has been stolen from the Anchorage office of the Byron Mallott gubernatorial campaign. [&#8230;] PDF copies of checks and credit cards were on the computer, including each contributor_„_s name, mailing address, phone number, bank account, or credit card and security code numbers, as well as <a href='https://www.databreaches.net/ak-mallott-campaign-computer-stolen/' class='excerpt-more'>[...]</a>","Sat, 31 May 2014 06:10:29 +0000",Miscellaneous,Theft,,,2014,,,,
US,INFORMATION SECURITY: Agencies Need to Improve Cyber Incident Response Practices _„_ GAO,"From the highlights of a newly released GAO report: Twenty-four major federal agencies did not consistently demonstrate that they are effectively responding to cyber incidents (a security breach of a computerized system and information). Based on a statistical sample of cyber incidents reported in fiscal year 2012, GAO projects that these agencies did not completely <a href='https://www.databreaches.net/information-security-agencies-need-to-improve-cyber-incident-response-practices-gao/' class='excerpt-more'>[...]</a>","Sat, 31 May 2014 05:53:29 +0000",Commentaries and Analyses,Of Note,,,2014,,,,
UK,UK: London Borough of Barking & Dagenham signs undertaking to recover lost files with personal data more promptly,"The Information Commissioner&#8217;s Office (ICO) reports: An undertaking to respond in a quicker and more effective manner to losses of personal data has been signed by London Borough of Barking &#38; Dagenham. According to the undertaking, on September 10, 2013, the ICO was informed that that London Borough of Barking &#38; Dagenham had sent a <a href='https://www.databreaches.net/uk-london-borough-of-barking-dagenham-signs-undertaking-to-recover-lost-files-with-personal-data-more-promptly/' class='excerpt-more'>[...]</a>","Sat, 31 May 2014 05:47:43 +0000",Uncategorized,,,,2014,,,,
US,N.J. State Officials To Launch Review After CBS 2 Exposes Data Breach,"CBS News reports: The New Jersey Division of Consumer Affairs has responded to a CBS 2 exclusive, opening a review after the discovery that medical billing company M.D. Manage left sensitive information out in the open. As CBS 2_„_s Tony Aiello reported,‘_the chief executive officer of M.D. Manage hid in his office rather than facing <a href='https://www.databreaches.net/n-j-state-officials-to-launch-review-after-cbs-2-exposes-data-breach/' class='excerpt-more'>[...]</a>","Fri, 30 May 2014 22:24:07 +0000",Uncategorized,,,,2014,,,,
US,Data breach reported in Arkansas State department (updated),AP reports: The Arkansas Department of Human Services has told Arkansas State University about a data breach in ASU&#8217;s College of Education and Behavioral Science&#8217;s Department of Childhood Services. ASU said Friday that the breach could expose personally identifiable information. Chief Information Officer Henry Torres says there has been unauthorized access to the data _„î <a href='https://www.databreaches.net/data-breach-reported-in-arkansas-state-department/' class='excerpt-more'>[...]</a>,"Fri, 30 May 2014 22:20:37 +0000",Education Sector,Government Sector,,,2014,,,,
US,Montana state health department server hacked via software security glitch,"I posted something about this breach over on phiprivacy.net yesterday, but thought this update would be of special interest to this blog&#8217;s readers. ‘_Matt Volz of AP reports: Hackers broke into a Montana health department computer server through software in need of a security upgrade after a Chinese-language website last year identified the department&#8217;s server <a href='https://www.databreaches.net/montana-state-health-department-server-hacked-via-software-security-glitch/' class='excerpt-more'>[...]</a>","Fri, 30 May 2014 22:15:44 +0000",Government Sector,Hack,Malware,,2014,,,,
US,"Paytime, Inc. breach affected over 216,000","One day, businesses will heed my sage advice not to stay in the news cycle by letting details dribble out piecemeal. Today is not the day, however, so thankfully, idRADAR did some digging and has found out that over 215,000 were affected by the Paytime, Inc. breach covered previously on this blog. Jeanne Price reports: <a href='https://www.databreaches.net/paytime-inc-breach-affected-over-216000/' class='excerpt-more'>[...]</a>","Fri, 30 May 2014 22:00:51 +0000",Business Sector,Hack,Of Note,,2014,,,,
US,TX: Metro Health laptop containing children's vaccination information stolen,"Fox San Antonio‘_reports that a laptop with up to 300 patients&#8217; personal information was stolen last month from‘_ Metro Health‘_[San Antonio&#8217;s‘_Metropolitan Health District].‘_ There does not seem to be any notice on Metro Health&#8217;s site explaining where the laptop was located at the time of the theft. WOAI reports, however, that the laptop, which contained <a href='https://www.databreaches.net/tx-metro-health-laptop-containing-childrens-vaccination-information-stolen/' class='excerpt-more'>[...]</a>","Mon, 30 Jun 2014 21:35:51 +0000",Uncategorized,,,,2014,,,,
US,Feds begin HIPAA probe in Cincinnati,"Evan Schuman reports an update to a breach where a woman&#8217;s syphilis diagnosis was posted online: The US. Department of Health &#38; Human Services has launched a federal probe into HIPAA privacy violations at the University of Cincinnati Medical Center, according to an‘_HHS‘_spokesperson. [&#8230;] The investigation began last week after‘_Healthcare IT News‘_contacted HHS to ask <a href='https://www.databreaches.net/feds-begin-hipaa-probe-in-cincinnati/' class='excerpt-more'>[...]</a>","Mon, 30 Jun 2014 12:07:51 +0000",Uncategorized,,,,2014,,,,
US,Online Psychotherapy Gains Fans And Raises Privacy Concerns,"Maanvi Singh reports on the uptick in online psychotherapy services, but notes that there are concerns not only about efficacy, but licensing and privacy. With respect to privacy, Singh reports: Some‘_studies‘_suggest that therapy online can be as effective as it is face to face. &#8220;We have a lot of promising data suggesting that technology can <a href='https://www.databreaches.net/online-psychotherapy-gains-fans-and-raises-privacy-concerns/' class='excerpt-more'>[...]</a>","Mon, 30 Jun 2014 11:34:58 +0000",Uncategorized,,,,2014,,,,
