?Threat Description,Malware
"The California Attorney General&#8217;s Office has issued a report,ÿCybersecurity in the ÿGolden State: How California Businesses Can Protect Against and Respond to Malware, Data Breaches and Other Cyberincidents. Here&#8217;s the Executive Summary: Executive Summary Relatively small investments in cybersecurity preparedness can yield significant risk reductions. Every business in California should follow the steps summarized below, <a href='https://www.databreaches.net/cybersecurity-in-the-golden-state-how-california-businesses-can-protect-against-and-respond-to-malware-data-breaches-and-other-cyberincidents/' class='excerpt-more'>[...]</a>",IdentityThreat
"First American Bank has filed a complaint with the City of Chicago following reports of a data breach involving customer debit cards used in taxis in the city. The banking company, based in Elk Grove Village, is advising customers not to use debit cards, or any other cards, in local taxis and has filed a <a href='https://www.databreaches.net/first-american-bank-reports-data-breach-in-chicago-taxis/' class='excerpt-more'>[...]</a>",InsiderThreat
"Iain Thomson reports: The low levels of security in healthcare IT systems, and the high value of its data, is going to make the sector the next big target for scammers, according to the Microsoft-backed team that takes down botnets. &#8220;Healthcare is really in a disadvantaged place in cyber-security,&#8221; said Patrick Peterson, CEO of security <a href='https://www.databreaches.net/crap-hospital-databases-next-goldmine-for-cyber-crooks-say-microsofts-botnet-slayers/' class='excerpt-more'>[...]</a>",InsiderThreat
"Hannah Dreier of Associated Press reports: Computer hackers stole the personal information of tens of thousands of Las Vegas Sands customers during a data breach earlier this month, the casino company said Friday. The company said in a regulatory filing that information about some patrons at its Bethlehem, Pa., hotel-casino was compromised during the Feb. <a href='https://www.databreaches.net/sands-update-hackers-stole-personal-information-of-tens-of-thousands-of-pennsylvania-casino-patrons/' class='excerpt-more'>[...]</a>",IdentityThreat
"John Hawes reports: A former student of Purdue University in Indiana has beenÿsentenced to 90 daysÿin jail for his part in hacking into college computer systems and changing grades. Roy C. Sun is one of three former Purdue students thought to have been involved in the incident, which occurred between 2008 and 2010 when they <a href='https://www.databreaches.net/jail-time-for-university-hacker-who-changed-his-grades-to-straight-as/' class='excerpt-more'>[...]</a>",IdentityThreat
"Tia Lashonda Miller, 39, of West Palm Beach, was arrested on charges of unlawful possession of unauthorized access devices, in violation of 18 U.S.C. õ 1029(a)(3), and five counts of aggravated identity theft, in violation of 18 U.S.C. õ 1028A(a)(1)). Miller made her initial appearance in court on Monday, February 24, 2014, before U.S. Magistrate <a href='https://www.databreaches.net/florida-woman-arrested-on-identity-theft-and-tax-fraud-charges-found-in-possession-of-identity-info-of-700/' class='excerpt-more'>[...]</a>",IdentityThreat
"More than 50 employees at the University of Northern Iowa may have had their identities stolen. One professor says when he went to file his taxes, someone had already filed in his name. The university says when it got eight or nine similar cases it made them take notice. Now the IRS and Division of <a href='https://www.databreaches.net/ia-id-theft-university-professors-victims/' class='excerpt-more'>[...]</a>",IdentityThreat
"Brian Krebs writes: In response to rumors in the financial industry thatÿSearsÿmay be the latest retailer hit by hackers, the company said today it has no indications that it has been breached.ÿAlthough the Sears investigation is ongoing, experts say there is a good chance the identification of Sears as a victim is a false alarm <a href='https://www.databreaches.net/breach-blind-spot-puts-retailers-on-defensive/' class='excerpt-more'>[...]</a>",IdentityThreat
"Michael Riley reports: The U.S. Secret Service is investigating a possible security breach at Sears Holdings Corporation, after a series of cyber attacks on retailers that have exposed the credit-card data of millions of U.S. consumers, according to a person familiar with the investigation. Read more on Bloomberg.com. The Chicago Tribune has a response from <a href='https://www.databreaches.net/sears-secret-service-said-to-investigate-possible-data-breach-but-sears-says-theres-no-evidence-of-breach/' class='excerpt-more'>[...]</a>",IdentityThreat
"Well, that was fast. And perhaps premature. Kris B. Mamula reports: TwoÿUPMCÿMcKeesport Hospital employees have sued their employer, claiming the hospital and corporate parent failed to protect the personal security information of its workers. EmployeesÿBarbara DittmanÿandÿGary Douglasÿclaimed their financial and W2 data were hacked by unknown fraudsters, who opened bank accounts in their names and <a href='https://www.databreaches.net/employees-sue-upmc-over-security-breach/' class='excerpt-more'>[...]</a>",InsiderThreat
"Ellen Messmer reports: By all accounts, many of the massive data breaches in the news these days are first revealed to the victims by law enforcement, the Secret Service and Federal Bureau of Investigation (FBI). But how do the agencies figure it out before the companies know they have been breached, especially given the millions <a href='https://www.databreaches.net/how-do-the-fbi-and-secret-service-know-your-network-has-been-breached-before-you-do/' class='excerpt-more'>[...]</a>",IdentityThreat
"Jeremy Kirk reports that Trustmark National Bank, one of the two plaintiffs in a lawsuit filed by banks against Target and Trustwave, has filed a notice of voluntary dismissal to drop their role in the lawsuit. Because the lawsuit was dropped without prejudice, the bank may re-file the suit at some point, although I suspect <a href='https://www.databreaches.net/bank-drops-lawsuit-against-target-and-trustwave/' class='excerpt-more'>[...]</a>",InsiderThreat
"Grimsby Telegraph has an update to a breach previously noted on this blog: Barclays Bank has come under fire after offering just œ250 in compensation to customers whose confidential files were stolen and sold to rogue City traders. At least 2,000 of the bank?s customers were affected by the theft, which included details of their <a href='https://www.databreaches.net/uk-barclays-customers-hit-by-data-theft-slam-chicken-feed-compensation/' class='excerpt-more'>[...]</a>",InsiderThreat
"John Russell reports: A powerful member of the Indiana Board of Pharmacy was quietly involved in discussions with state pharmacy regulators about a $100 million project that benefited his employer ? Walgreens pharmacies. And now a government watchdog group and a labor federation say those actions not only violated state ethics laws, but have allowed <a href='https://www.databreaches.net/pharmacy-boards-actions-raise-questions-about-ethics-patient-privacy-safety/' class='excerpt-more'>[...]</a>",InsiderThreat
"Rovio, the creator of the mobile game hit Angry Birds, has continued its co-operation with an ad platform believed to have been hacked by the British intelligence agency, data security firm FireEye reveals in its blog. The Guardian reported in January, citing documents provided by Edward Snowden, that the Government Communications Headquarters (GCHQ) can snatch <a href='https://www.databreaches.net/angry-birds-still-leaking-user-details-data-security-firm-reports/' class='excerpt-more'>[...]</a>",IdentityThreat
"This story out of Texas is a good reminder of why you want to have a good Business Associates agreement in place with your documents storage or shredding vendor. It also reinforces my policy of standing there and watching while my documents are securely shredded by the truck operator. ÿOf course, I don&#8217;t generate as <a href='https://www.databreaches.net/document-shredding-company-employee-eyed-in-id-theft-ring/' class='excerpt-more'>[...]</a>",InsiderThreat
"Scott Gordon reports: A Fort Worth man who worked for a document shredding company did not destroy bank records and instead shared them with thieves, according to court documents. The number of potential victims is in the thousands and the total loss may be in the millions of dollars, a law enforcement source told NBC <a href='https://www.databreaches.net/tx-document-shredding-company-employee-eyed-in-id-theft-ring/' class='excerpt-more'>[...]</a>",IdentityThreat
"Yesterday, Trustwave issued a statement on its website about allegations made in lawsuits against Target naming it as a co-defendant. The letter, signed by Trustwave CEOÿRobert J. McCullen reads: March 29, 2014 Dear Customers and Business Partners, As some of you may know, Trustwave was recently named as a defendant in lawsuits relating to the <a href='https://www.databreaches.net/claims-that-trustwave-was-responsible-for-monitoring-targets-network-baseless-trustwave/' class='excerpt-more'>[...]</a>",InsiderThreat
"Andrew Staub reports: Legislation moving through the Pennsylvania Senate would allow prosecutors to rifle through prescription drug records as easily as police can search a student?s locker. The proposal, Senate Bill 1180, would create an expanded prescription drug monitoring program and increase access for pharmacists and health-care practitioners who prescribe medication. The American Civil Liberties <a href='https://www.databreaches.net/public-health-privacy-rights-collide-in-pa-drug-tracking-bill/' class='excerpt-more'>[...]</a>",IdentityThreat
"Queens District Attorney Richard A. Brown announced that two employees of JamaicaÿHospital Medical Center in Queens, New York have been charged with illegally accessing medical records and personalÿidentification information of emergency room patients who were then contacted ? some while theyÿwere still in the emergency room ÿ? by attorneys seeking to solicit them as clients <a href='https://www.databreaches.net/ny-jamaica-hospital-medical-center-employees-charged-with-illegally-accessing-patient-information-that-they-provided-to-lawyers-and-medical-mills/' class='excerpt-more'>[...]</a>",InsiderThreat
"Sam Hemingway reports: At least 69 Vermont physicians and health care workers, many of them connected to Fletcher Allen Health Care in Burlington, were targets of a nationwide tax scam involving identity theft and the filing of fraudulent federal income tax returns in their names. ?It?s mostly doctors, but it?s not restricted to them,? Paul <a href='https://www.databreaches.net/69-vermont-docs-health-care-providers-targeted-in-tax-scam/' class='excerpt-more'>[...]</a>",IdentityThreat
"NBC reports: A 39-year-old Bronx man and his 29-year-old girlfriend are accused of skimming customers&#8217; credit card numbers at the Hale &#38; Hearty where she worked, and then going on shopping sprees with several others, spending more than $200,000. Manhattan District Attorney Cyrus Vance Jr. says 11 people are accused in the scheme that began <a href='https://www.databreaches.net/nyc-hale-hearty-customers-targeted-by-credit-card-skimmers/' class='excerpt-more'>[...]</a>",InsiderThreat
"Ken Curtis reports: Flowers Hospital has sent letters to people whose lab work performed there warning that their identity may have been stolen and used to file fraudulent income tax returns. A copy of the letter made available to WDHN states the files were stolen between June, 2013 and February, 2014. Read more on DothanFirst. <a href='https://www.databreaches.net/al-patients-personal-info-stolen-from-flowers-hospital-by-employee-for-tax-refund-fraud-scheme/' class='excerpt-more'>[...]</a>",InsiderThreat
The release of confidential patient details to a state medical institution in the course of her negotiations with a hospital over a lawsuit was an unjustified interference with her right to respect for private life underÿArticle 8. Read more on UK Human Rights Blog. The case isÿL.H. v Latvia [2014] ECHRÿ453 (29 April 2014)ÿ&#8211;ÿread judgment.,IdentityThreat
"KPC News reports: DeKalb Health hospital Wednesday announced it has learned of a hacking incident involving the DeKalb Health website that resulted in inappropriate access to certain information about some DeKalb Health patients. DeKalb Health uses a third party firm to operate its website, and a computer server operated by that third party was the <a href='https://www.databreaches.net/dekalb-health-reports-patient-information-breach-after-compromise-of-vendors-server/' class='excerpt-more'>[...]</a>",InsiderThreat
"From their website (h/t, idRADAR.com): Important Notice About Unauthorized Server Access ? April 29, 2014 UNCW?s Information Technology Services team has discovered unauthorized access to a UNCW applications server, making it possible to access a database containing names, addresses and social security numbers of individuals employed at UNCW as of March 2014, which may include <a href='https://www.databreaches.net/u-north-carolina-wilmington-reports-yet-another-security-incident/' class='excerpt-more'>[...]</a>",IdentityThreat
"A law firm that had filed notices of claim against MCCCD over its 2013 breach that exposed the information of almost 2.5 million current and former students, employees, and vendors, has now filed a class action lawsuit. On Monday, April 28, 2014, Gallagher &#38; Kennedy filed a class action lawsuit in the Superior Court of <a href='https://www.databreaches.net/class-action-lawsuit-filed-against-maricopa-county-community-colleges-district/' class='excerpt-more'>[...]</a>",IdentityThreat
AP reports: The manager of a St. Louis public housing complex has been indicted on two felony charges for allegedly conspiring to stealÿSocial Securityÿnumbers and other personal information from prospectiveÿtenants. Federal prosecutors say 42-year-oldÿMarsha Harringtonÿworked with co-defendantsÿCalvin ShawÿandÿLarry Cornerÿto use the stolen information to file false tax returns. Harrington is manager of the Clinton-Peabody housing <a href='https://www.databreaches.net/mo-public-housing-manager-charged-with-identity-theft-for-tax-refund-fraud/' class='excerpt-more'>[...]</a>,IdentityThreat
"Brian Krebs reports: Earlier this month, I wrote about an organized cybercrime gang that has been hacking into HR departments at organizations across the country andÿfiling fraudulentÿtax refund requestsÿwith the IRSÿon employees of those victim firms. Today, we?ll look a bit closer at the activities of this crime gang, which appears to have targeted a <a href='https://www.databreaches.net/tax-fraud-gang-targeted-healthcare-firms/' class='excerpt-more'>[...]</a>",IdentityThreat
"Christopher Poole, aka &#8220;moot,&#8221; confirmed the attack on 4chan&#8217;s blog earlier today: Last week we were made aware of a software vulnerability that allowed an intruder access to administrative functions and information from one of our databases. The intruder later stated their motive was to expose the posting habits of a specific user they disliked. <a href='https://www.databreaches.net/4chan-hacked/' class='excerpt-more'>[...]</a>",InsiderThreat
"Amanda Emery reports: Hurley Medical Center inadvertently released the names and social security numbers of an undisclosed number of employees and retirees while trying to fix issues with its health care plan. According to a news release from Hurley Medical Center, the hospital recently discovered that an email attachment sent to a &#8220;limited number of <a href='https://www.databreaches.net/mi-hurley-medical-center-e-mail-error-discloses-some-employee-and-retiree-social-security-numbers/' class='excerpt-more'>[...]</a>",InsiderThreat
"Ladies First Choice, Inc. in Florida reported to HHS that 2,365 were affected by an incident on January 1, 2013. The incident was coded as &#8220;Theft, Unauthorized Access/Disclosure,&#8221; with the location of the information listed as &#8220;laptop.&#8221; On investigation, I don&#8217;t think that the incident occurred on January 1, 2013, but rather that the oldest <a href='https://www.databreaches.net/ladies-first-choice-inc-reports-insider-theft-of-customer-data/' class='excerpt-more'>[...]</a>",IdentityThreat
"Francine Frazier reports: A former Baptist Health employee was sentenced this week to three years in prison for identity theft in connection with Operation Zig Zag, the State Attorney&#8217;s Office announced Friday. Yvonne Marie Johnson, 46, was convicted on three counts of Criminal Use of Personal Identification in March. Read more on News4Jax. Background on <a href='https://www.databreaches.net/fl-former-baptist-health-worker-sentenced-in-operation-zig-zag/' class='excerpt-more'>[...]</a>",IdentityThreat
"Rosemarie Alexander reports: A laptop computer with donors? financial information has been stolen from the Anchorage office of the Byron Mallott gubernatorial campaign. [&#8230;] PDF copies of checks and credit cards were on the computer, including each contributor?s name, mailing address, phone number, bank account, or credit card and security code numbers, as well as <a href='https://www.databreaches.net/ak-mallott-campaign-computer-stolen/' class='excerpt-more'>[...]</a>",InsiderThreat
"From the highlights of a newly released GAO report: Twenty-four major federal agencies did not consistently demonstrate that they are effectively responding to cyber incidents (a security breach of a computerized system and information). Based on a statistical sample of cyber incidents reported in fiscal year 2012, GAO projects that these agencies did not completely <a href='https://www.databreaches.net/information-security-agencies-need-to-improve-cyber-incident-response-practices-gao/' class='excerpt-more'>[...]</a>",IdentityThreat
"The Information Commissioner&#8217;s Office (ICO) reports: An undertaking to respond in a quicker and more effective manner to losses of personal data has been signed by London Borough of Barking &#38; Dagenham. According to the undertaking, on September 10, 2013, the ICO was informed that that London Borough of Barking &#38; Dagenham had sent a <a href='https://www.databreaches.net/uk-london-borough-of-barking-dagenham-signs-undertaking-to-recover-lost-files-with-personal-data-more-promptly/' class='excerpt-more'>[...]</a>",IdentityThreat
"CBS News reports: The New Jersey Division of Consumer Affairs has responded to a CBS 2 exclusive, opening a review after the discovery that medical billing company M.D. Manage left sensitive information out in the open. As CBS 2?s Tony Aiello reported,ÿthe chief executive officer of M.D. Manage hid in his office rather than facing <a href='https://www.databreaches.net/n-j-state-officials-to-launch-review-after-cbs-2-exposes-data-breach/' class='excerpt-more'>[...]</a>",IdentityThreat
AP reports: The Arkansas Department of Human Services has told Arkansas State University about a data breach in ASU&#8217;s College of Education and Behavioral Science&#8217;s Department of Childhood Services. ASU said Friday that the breach could expose personally identifiable information. Chief Information Officer Henry Torres says there has been unauthorized access to the data ? <a href='https://www.databreaches.net/data-breach-reported-in-arkansas-state-department/' class='excerpt-more'>[...]</a>,IdentityThreat
"I posted something about this breach over on phiprivacy.net yesterday, but thought this update would be of special interest to this blog&#8217;s readers. ÿMatt Volz of AP reports: Hackers broke into a Montana health department computer server through software in need of a security upgrade after a Chinese-language website last year identified the department&#8217;s server <a href='https://www.databreaches.net/montana-state-health-department-server-hacked-via-software-security-glitch/' class='excerpt-more'>[...]</a>",InsiderThreat
"One day, businesses will heed my sage advice not to stay in the news cycle by letting details dribble out piecemeal. Today is not the day, however, so thankfully, idRADAR did some digging and has found out that over 215,000 were affected by the Paytime, Inc. breach covered previously on this blog. Jeanne Price reports: <a href='https://www.databreaches.net/paytime-inc-breach-affected-over-216000/' class='excerpt-more'>[...]</a>",InsiderThreat
"Fox San Antonioÿreports that a laptop with up to 300 patients&#8217; personal information was stolen last month fromÿ Metro Healthÿ[San Antonio&#8217;sÿMetropolitan Health District].ÿ There does not seem to be any notice on Metro Health&#8217;s site explaining where the laptop was located at the time of the theft. WOAI reports, however, that the laptop, which contained <a href='https://www.databreaches.net/tx-metro-health-laptop-containing-childrens-vaccination-information-stolen/' class='excerpt-more'>[...]</a>",IdentityThreat
"Evan Schuman reports an update to a breach where a woman&#8217;s syphilis diagnosis was posted online: The U.S. Department of Health &#38; Human Services has launched a federal probe into HIPAA privacy violations at the University of Cincinnati Medical Center, according to anÿHHSÿspokesperson. [&#8230;] The investigation began last week afterÿHealthcare IT Newsÿcontacted HHS to ask <a href='https://www.databreaches.net/feds-begin-hipaa-probe-in-cincinnati/' class='excerpt-more'>[...]</a>",IdentityThreat
"Maanvi Singh reports on the uptick in online psychotherapy services, but notes that there are concerns not only about efficacy, but licensing and privacy. With respect to privacy, Singh reports: Someÿstudiesÿsuggest that therapy online can be as effective as it is face to face. &#8220;We have a lot of promising data suggesting that technology can <a href='https://www.databreaches.net/online-psychotherapy-gains-fans-and-raises-privacy-concerns/' class='excerpt-more'>[...]</a>",IdentityThreat
"Emily Longnecker reports: The personal information of nearly 200,000 people is at risk after hackers recently targeted Butler University. This data breach exposed around 163,000 people, including faculty, staff, alumni, current students and even one-time prospective students who never actually wound up attending the university. Butler officials say they haveÿreached out to those who were <a href='https://www.databreaches.net/data-breach-at-butler-university-exposes-nearly-200k-people/' class='excerpt-more'>[...]</a>",InsiderThreat
"New research released today by the National Consumers League (NCL) and Javelin Strategy &#38; Research reveals disturbing trends for Miami residents who have been affected by data breaches and identity fraud. Nearly half of identity fraud victims are unaware where their information was compromised, while 61 percent of those who were also data breach victims <a href='https://www.databreaches.net/new-research-findings-miami-identity-fraud-victims-losing-trust-in-business-expect-government-action-to-protect-them-from-data-breaches/' class='excerpt-more'>[...]</a>",IdentityThreat
"Triple-S Salud (TSS) is a licensee of Blue Cross Blue Shield of Puerto Rico and handles managed care for Medicare enrollees. In February, the company was fined $6.8M for a breach involving the exposure of over 13,000 insureds&#8217; information in a mailing error. They were also barred from signing up more beneficiaries for theirÿPlatino line <a href='https://www.databreaches.net/breaches-have-consequences-eventually/' class='excerpt-more'>[...]</a>",IdentityThreat
"Roderick Neal, of Dothan, Alabama, was indicted for stolen identity refund fraud crimes, Deputy Assistant Attorney General Ronald A. Cimino of the Justice Department?s Tax Division and U.S. Attorney George L. Beck Jr. for the Middle District of Alabama announced yesterday following the unsealing of the indictment. Neal was charged with conspiracy, wire fraud and <a href='https://www.databreaches.net/al-former-bail-bondsman-indicted-in-stolen-identity-tax-refund-fraud-scheme/' class='excerpt-more'>[...]</a>",IdentityThreat
"Jeanne Price reports: Some data breach notifications just jump off the page and scream, ?Details, please!? Such is the case for Record Assist LLC of Houston, Texas, which appears to provide expedited copies of vital records. Birth certificates, to be precise. As any data security writer can tell you, certified birth certificates should be treated <a href='https://www.databreaches.net/birth-certificate-service-reveals-data-breach/' class='excerpt-more'>[...]</a>",IdentityThreat
"Amulya Raghuveer reports: Oregon Police said Friday that they will not file charges against a ProMedica employee after a criminal investigation into a breach of patient data at Bay Park Hospital. The security breach, which was announced by ProMedica in May, was suspected to have compromised personal health information for nearly 600 patients at the <a href='https://www.databreaches.net/update-no-criminal-charges-to-be-filed-in-bay-park-patient-data-breach-case/' class='excerpt-more'>[...]</a>",InsiderThreat
"Jack Bouboushian reports: Lax security at P.F. Chang&#8217;s China Bistro allowed hackers to steal up to 7 million customers&#8217; credit and debit card numbers, and the restaurant waited nine months to tell customers about the security breach, a class action claims in Federal Court. Lead plaintiff ðJohn Lewert sued P.F. Chang&#8217;s China Bistro on Wednesday. <a href='https://www.databreaches.net/p-f-changs-cut-corners-on-security-lawsuit/' class='excerpt-more'>[...]</a>",InsiderThreat
"Brian Burnes reports the sentencing of the owner of Edge Auto Sales, who misused his customers&#8217; information. A former Kansas City-area used car dealer behind one of the largest identify theft cases ever prosecuted in a Missouri court was sentenced Thursday to 15 years in prison. Terry Lee Morrow Jr. used his customers? names, birth <a href='https://www.databreaches.net/former-eastern-jackson-county-car-dealer-sentenced-in-1-1-million-fraudulent-loan-case/' class='excerpt-more'>[...]</a>",IdentityThreat
"Remember the tax refund fraud that affected a number of people employed by or volunteers with the Archdiocese of Portland? The breach was disclosed in March, but as of July 28, the Archdiocese still doesn&#8217;t know how the breach occurred and whether it involved their system or an external system. From a letter signed by <a href='https://www.databreaches.net/four-months-later-archdiocese-of-portland-breach-still-unclear/' class='excerpt-more'>[...]</a>",InsiderThreat
"If you missed the 2014 Health Privacy Summit, you can view videos from the conference on Patient Privacy Rights&#8217; site.",IdentityThreat
"Well, I wasn&#8217;t going to post anything about this hack because it didn&#8217;t seem any personal information was involved, but now it seems that there was personal info involved, so&#8230;. Andrea Janus reports: A highly sophisticated cyberattack against Canada&#8217;s National Research Council infiltrated a system that contained personal information, the privacy commissioner&#8217;s office said Thursday. <a href='https://www.databreaches.net/chinese-cyberattack-infiltrated-system-holding-personal-data/' class='excerpt-more'>[...]</a>",InsiderThreat
Brian Krebs reports: Sources at a growing number of financial institutions in the United States say they are tracking a pattern of fraud that indicates nationwide sandwich chain Jimmy John?s may be the latest retailer dealing with a breach involving customer credit card data. The company says it is working with authorities on an investigation. <a href='https://www.databreaches.net/sandwich-chain-jimmy-johns-investigating-breach-claims/' class='excerpt-more'>[...]</a>,IdentityThreat
"The University of West Florida announced Thursday morning that passwords and usernames for about 160 people may have been compromised in an data breach of the university?s main campus networks, a news release from UWF said. University officials believe that some individuals attacked the network to intercept UWF ArgoNet usernames and passwords for approximately 90 <a href='https://www.databreaches.net/data-breach-at-university-of-west-florida/' class='excerpt-more'>[...]</a>",InsiderThreat
"Jacqueline Nicole Lee Warrick, 26, of Miami, andÿTracy Delva, 27, of Deerfield Beach, pled guilty today for their participation in a conspiracy to unjustly enrich themselves by stealing personal identifying information and using the information to make unauthorized wire transfers from the victims? bank accounts and obtain unauthorized credit or debit cards. Co-defendantÿChouman Emily Syrilien, <a href='https://www.databreaches.net/two-more-defendants-plead-guilty-in-identity-theft-fraud-scheme-involving-personal-identifying-information-from-att-customer-files/' class='excerpt-more'>[...]</a>",IdentityThreat
"Updated to include Paddy Power&#8217;s statement. John Mulligan reports on a data breach at the gambling firm Paddy Power, where details of over 649,000 customers have reportedly been stolen &#8211; perhaps as early as 2010: The stolen data includes personal information entered by customers signing up to the Paddy Power online service in 2010 and <a href='https://www.databreaches.net/paddy-power-discloses-breach-affecting-649k-customers/' class='excerpt-more'>[...]</a>",InsiderThreat
"Shelley Robinson reports from Christchurch: Thousands of city council documents filled with personal details, including bankruptcy and medical information, have been flying off the top of a soon to be demolished car parking building. For weeks, people in the Re:Start Mall and surrounding blocks have been finding parking infringement notices from 2001 &#8211; 2003. The <a href='https://www.databreaches.net/nz-city-council-documents-fly-loose/' class='excerpt-more'>[...]</a>",IdentityThreat
"Stacia Glen reports: Someone stole a stack of expired prescription records from a Rite Aid pharmacy in Milton, the company announced Wednesday. The records did not contain Social Security numbers or credit card numbers, and there has been no sign of resulting identity theft, spokeswoman Ashley Flower said. The theft occurred June 30 at the <a href='https://www.databreaches.net/wa-expired-prescription-records-stolen-from-a-rite-aid-pharmacy/' class='excerpt-more'>[...]</a>",IdentityThreat
"Sarah Bowman reports: Three weeks after Beaufort County School District teachers traveled to West Africa, several school board members and parents question the way the district handled public information about Ebola concerns. [&#8230;] Board of Education member JoAnn Orischak said balancing public knowledge and employee privacy is difficult. &#8220;The district would never be able to <a href='https://www.databreaches.net/sc-school-districts-handling-of-ebola-concerns-divides-board-members/' class='excerpt-more'>[...]</a>",IdentityThreat
"On August 19, ÿPHIprivacy.net posted an excerpt from The NewsStar concerning a breach of patient information for over 6,000 patients at E. A. Conway Medical Center.ÿ Today, PHIprivacy.net learned that TheNewsStar&#8216;s coverage was inaccurate in some important respects. That post has now been replaced with a correction and an apology to the professor of ethical <a href='https://www.databreaches.net/correction-and-apology-2/' class='excerpt-more'>[...]</a>",IdentityThreat
"Shawn Tuma writes: Can an Employee Really Can Steal Your Data and Then SLAPP You for It? Yes, in California it just happened! The fact that this happened in California should be of no comfort to Texas businesses, however, because the Texas Anti-SLAPP law comes from California and, therefore, California jurisprudence is considered persuasive authority <a href='https://www.databreaches.net/can-an-employee-really-can-steal-your-data-and-then-slapp-you-for-it/' class='excerpt-more'>[...]</a>",IdentityThreat
